Name,Team,EV,LA,SLG,AVG,Pull,Cent,Oppo,Bats
Joey Gallo,Rangers,91.2,26.8,0.378,0.181,49.10%,28.10%,22.80%,L
Anthony Santander,Orioles,88.6,24.7,0.575,0.261,38.30%,29.70%,32.00%,S
Rhys Hoskins,Phillies,90.1,24.3,0.503,0.245,48.10%,27.80%,24.10%,R
Will Smith,Dodgers,90.8,24.2,0.579,0.289,38.70%,36.60%,24.70%,R
Austin Meadows,Rays,90.3,24.2,0.371,0.205,44.00%,36.90%,19.00%,L
Matt Chapman,Athletics,93.6,24.1,0.535,0.232,49.40%,29.20%,21.30%,R
Byron Buxton,Twins,91.2,23.6,0.577,0.254,54.20%,25.00%,20.80%,R
Jose Ramirez,Indians,88.7,23.2,0.607,0.292,52.00%,28.80%,19.20%,S
Mike Trout,Angels,93.7,23.1,0.603,0.281,38.10%,33.30%,28.60%,R
Adam Duvall,Braves,88.1,22.9,0.532,0.237,44.50%,30.70%,24.80%,R
Max Kepler,Twins,88.5,21.9,0.439,0.228,44.10%,30.90%,25.00%,L
Paul DeJong,Cardinals,89.2,21.7,0.349,0.25,43.40%,34.00%,22.60%,R
Renato Nunez,Orioles,86.3,21.1,0.492,0.256,49.20%,28.80%,22.00%,R
Trevor Story,Rockies,89.9,20.9,0.519,0.289,32.00%,36.00%,32.00%,R
Kris Bryant,Cubs,86.1,20.7,0.351,0.206,40.70%,39.60%,19.80%,R
Rougned Odor,Rangers,86,20.7,0.413,0.167,47.30%,32.30%,20.40%,L
Miguel Sano,Twins,95.2,20.2,0.478,0.204,56.30%,26.00%,17.70%,R
Matt Olson,Athletics,92.3,19.7,0.424,0.195,47.40%,33.10%,19.50%,L
Anthony Rendon,Angels,90.1,19.6,0.497,0.286,43.70%,36.70%,19.60%,R
Mark Canha,Athletics,89.7,19.4,0.408,0.246,42.30%,35.90%,21.80%,R
Victor Robles,Nationals,82.6,19.4,0.315,0.22,50.00%,33.10%,16.90%,R
Marcus Semien,Athletics,86.2,19.3,0.374,0.223,43.50%,32.90%,23.60%,R
Gary Sanchez,Yankees,91.8,19.2,0.365,0.147,57.60%,22.80%,19.60%,R
Nolan Arenado,Rockies,87.8,19.1,0.434,0.253,42.20%,35.50%,22.30%,R
Wilmer Flores,Giants,87.9,19,0.515,0.268,51.50%,28.20%,20.20%,R
Ronald Acuna Jr.,Braves,92.4,18.6,0.581,0.25,42.00%,35.00%,23.00%,R
Justin Upton,Angels,91.7,18.6,0.422,0.204,46.70%,35.20%,18.10%,R
Andrew McCutchen,Phillies,89.6,18.6,0.433,0.253,46.50%,33.50%,20.00%,R
Mitch Garver,Twins,92.4,18.5,0.264,0.167,61.10%,25.00%,13.90%,R
Mookie Betts,Dodgers,90.7,18.5,0.562,0.292,38.50%,34.10%,27.50%,R
George Springer,Astros,88.7,18.4,0.54,0.265,48.00%,34.90%,17.10%,R
Mike Yastrzemski,Giants,88.2,18.4,0.568,0.297,43.10%,35.80%,21.20%,L
Daulton Varsho,Diamondbacks,86.2,18.4,0.366,0.188,36.80%,42.60%,20.60%,L
Brandon Lowe,Rays,89.8,18.1,0.554,0.269,45.30%,32.10%,22.60%,L
Eduardo Escobar,Diamondbacks,88.6,18.1,0.335,0.212,41.50%,36.00%,22.60%,S
Eddie Rosario,Twins,87.5,18.1,0.476,0.257,41.60%,33.70%,24.70%,L
Brandon Belt,Giants,90.7,18,0.591,0.309,43.40%,34.50%,22.10%,L
Didi Gregorius,Phillies,83.7,18,0.488,0.284,43.20%,29.50%,27.40%,L
Eugenio Suarez,Reds,89.1,17.9,0.47,0.202,54.50%,27.30%,18.20%,R
Ozzie Albies,Braves,86.7,17.8,0.466,0.271,42.00%,38.60%,19.30%,S
Kyle Seager,Mariners,89.1,17.7,0.433,0.241,36.40%,40.90%,22.70%,L
Justin Turner,Dodgers,90.3,17.5,0.46,0.307,37.60%,38.40%,24.00%,R
Dylan Moore,Mariners,90.4,17.3,0.496,0.255,42.60%,31.90%,25.50%,R
Alex Bregman,Astros,88.9,17.3,0.451,0.242,47.70%,36.70%,15.60%,R
Freddie Freeman,Braves,92.4,17.2,0.64,0.341,37.30%,33.30%,29.40%,L
Kole Calhoun,Diamondbacks,89.4,17.1,0.526,0.226,59.00%,27.10%,13.90%,L
Tommy La Stella,- - -,88,17.1,0.449,0.281,46.50%,32.10%,21.40%,L
Hunter Dozier,Royals,86.4,17,0.392,0.228,36.40%,35.50%,28.20%,R
David Dahl,Rockies,85.9,16.9,0.247,0.183,36.40%,39.40%,24.20%,L
Starlin Castro,Nationals,87.1,16.8,0.45,0.267,31.90%,40.40%,27.70%,R
Bryce Harper,Phillies,92.3,16.7,0.542,0.268,38.70%,34.00%,27.30%,L
Luis Robert,White Sox,87.9,16.7,0.436,0.233,35.10%,36.60%,28.20%,R
Anthony Rizzo,Cubs,87.7,16.7,0.414,0.222,47.90%,32.30%,19.80%,L
Cavan Biggio,Blue Jays,87.4,16.7,0.432,0.25,47.20%,30.80%,22.00%,L
Mauricio Dubon,Giants,86.2,16.7,0.389,0.274,37.10%,33.10%,29.80%,R
Cody Bellinger,Dodgers,89.3,16.6,0.455,0.239,45.60%,33.90%,20.50%,L
Nicholas Castellanos,Reds,91,16.5,0.486,0.225,32.00%,46.70%,21.30%,R
Marcell Ozuna,Braves,93,16.4,0.636,0.338,45.00%,29.00%,26.00%,R
Nick Senzel,Reds,88.3,16.4,0.357,0.186,46.40%,30.40%,23.20%,R
Mike Moustakas,Reds,88.8,16.3,0.468,0.23,38.10%,41.00%,21.00%,L
Whit Merrifield,Royals,86.1,15.8,0.44,0.282,29.20%,44.00%,26.90%,R
Yasmani Grandal,White Sox,90.3,15.6,0.422,0.23,41.00%,32.40%,26.70%,S
Manny Machado,Padres,90.2,15.6,0.58,0.304,45.00%,31.40%,23.60%,R
Jorge Soler,Royals,92.5,15.5,0.443,0.228,51.10%,25.60%,23.30%,R
Aaron Judge,Yankees,92.2,15.5,0.554,0.257,53.60%,29.00%,17.40%,R
Pete Alonso,Mets,90.2,15.5,0.49,0.231,43.20%,31.80%,25.00%,R
Joey Votto,Reds,87.4,15.4,0.446,0.226,46.20%,28.70%,25.20%,L
Teoscar Hernandez,Blue Jays,93.3,15.3,0.579,0.289,35.90%,42.20%,21.90%,R
Luke Voit,Yankees,88.9,15.2,0.61,0.277,54.40%,24.40%,21.30%,R
James McCann,White Sox,90.5,15,0.536,0.289,33.30%,34.80%,31.90%,R
Kyle Tucker,Astros,91.1,14.9,0.512,0.268,50.60%,31.70%,17.70%,L
Gleyber Torres,Yankees,88.6,14.9,0.368,0.243,38.90%,34.30%,26.90%,R
Bobby Dalbec,Red Sox,89.9,14.8,0.6,0.263,41.50%,34.10%,24.40%,R
Sean Murphy,Athletics,92.2,14.7,0.457,0.233,31.60%,46.80%,21.50%,R
J.D. Martinez,Red Sox,89.5,14.7,0.389,0.213,37.00%,40.30%,22.70%,R
